,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types
0,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']"
1,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2756,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
2,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']"
3,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']"
4,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']"
5,Najd Village,9200 33511,3.9,11309,46.70469529999999,24.7426043,"['restaurant', 'food', 'point_of_interest', 'establishment']"
6,Wooden Bakery,050 133 8321,4.3,10548,46.7226815,24.6941192,"['bakery', 'restaurant', 'store', 'food', 'point_of_interest', 'establishment']"
7,Najd Village,9200 33511,3.8,8466,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']"
8,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
9,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']"
10,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
11,Mama Noura,9200 12026,4.3,23682,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']"
12,Burger King - Al Quds,,3.6,1705,46.740762,24.75733899999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
13,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']"
14,Kudu - Al Rayyan,9200 06999,3.8,1802,46.7889345,24.7092575,"['restaurant', 'meal_takeaway', 'meal_delivery', 'food', 'point_of_interest', 'establishment']"
15,Dominos,9200 12345,3.8,638,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
16,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']"
17,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'food', 'point_of_interest', 'establishment']"
18,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'food', 'point_of_interest', 'establishment']"
19,Kudu - Al Malaz,9200 06999,3.9,1942,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
20,Mama Noura,011 266 6623,4.1,11461,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']"
21,قصر الهند,011 278 2394,3.8,6165,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']"
22,Herfy,9200 01111,3.8,1374,46.6983362,24.6940569,"['restaurant', 'food', 'point_of_interest', 'establishment']"
23,Al Jalab Restaurant,011 450 7979,4.3,1540,46.6870006,24.7337823,"['restaurant', 'food', 'point_of_interest', 'establishment']"
24,Al Romansiah,9200 00144,4.1,8499,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']"
25,Al Nafoura Restaurant,011 267 0815,3.3,1007,46.6251475,24.5884052,"['restaurant', 'food', 'point_of_interest', 'establishment']"
26,Herfy,9200 01111,3.7,380,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']"
27,Diet Center - دايت سنتر,9200 17373,4.1,74,46.784153,24.681048,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'health', 'point_of_interest', 'establishment']"
28,KFC,9200 21111,3.6,1452,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']"
29,Kudu - Al Seteen Palace,9200 06999,3.9,2398,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
30,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 455 9562,3.7,649,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
31,Al Saudi Restaurant,9200 09515,3.9,4617,46.70311350000001,24.6957429,"['restaurant', 'food', 'point_of_interest', 'establishment']"
32,Burger King - Bin Turkey,,3.7,681,46.619087,24.746228,"['restaurant', 'food', 'point_of_interest', 'establishment']"
33,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
34,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 470 7591,3.9,719,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
35,Burger King - Exit 28,,3.8,1291,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']"
36,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']"
37,TOKYO,9200 09662,4.3,7199,46.68670509999999,24.7181459,"['restaurant', 'food', 'point_of_interest', 'establishment']"
38,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_takeaway', 'meal_delivery', 'food', 'point_of_interest', 'establishment']"
39,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2020,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']"
40,Al Romansiah,9200 00144,4.2,9579,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']"
41,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']"
42,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']"
43,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']"
44,وايت قاردن,011 462 7799,4.2,4531,46.6836945,24.6943084,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']"
45,Al Tazaj,9200 00765,3.6,4796,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']"
