,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
0,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
1,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
2,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
3,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
4,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
5,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
6,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",حي الياسمين
7,Najd Village,9200 33511,3.8,8468,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
8,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
9,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
10,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
11,Mama Noura,9200 12026,4.3,23691,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
12,Burger King - Al Quds,,3.6,1707,46.740762,24.75733899999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
13,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
14,Kudu - Al Rayyan,9200 06999,3.8,1803,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الياسمين
15,Dominos,9200 12345,3.8,639,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
16,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
17,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
18,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
19,Kudu - Al Malaz,9200 06999,3.9,1944,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الياسمين
20,قصر الهند,011 278 2394,3.8,6168,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
21,Mama Noura,011 266 6623,4.1,11464,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
22,Herfy,9200 01111,3.8,1376,46.6983362,24.6940569,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
23,Al Jalab Restaurant,011 450 7979,4.3,1543,46.6870006,24.7337823,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
24,Al Romansiah,9200 00144,4.1,8499,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
25,Herfy,9200 01111,3.7,380,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
26,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 455 9562,3.7,649,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
27,Kudu - Al Seteen Palace,9200 06999,3.9,2399,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الياسمين
28,Diet Center - دايت سنتر,9200 17373,4.1,74,46.784153,24.681048,"['health', 'restaurant', 'point_of_interest', 'grocery_or_supermarket', 'store', 'food', 'establishment']",حي الياسمين
29,Burger King - Bin Turkey,,3.7,681,46.619087,24.746228,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
30,KFC,9200 21111,3.6,1452,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
31,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 470 7591,3.9,719,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
32,Al Saudi Restaurant,9200 09515,3.9,4618,46.70311350000001,24.6957429,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
33,Al Nafoura Restaurant,011 267 0815,3.3,1007,46.6251475,24.5884052,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
34,TOKYO,9200 09662,4.3,7203,46.68670509999999,24.7181459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
